treeID,Z,TreeSpecies,coords.x1,coords.x2,DBH,Biomass
185,20,1,295050.375,6808794.125,30.67376749,454.5757409
186,18.14,2,295109.375,6808794.125,39.15909061,599.1901026
187,14.75,2,295174.625,6808794.125,25.75725622,236.4115473
188,3.82,2,294065.375,6808793.875,5.668004582,4.957666139
189,20.95,2,294655.875,6808793.875,58.91289816,1267.851016
190,19.13,2,294792.875,6808793.875,44.81144746,781.4150114
191,5,2,294851.375,6808793.875,7.258233757,8.967276667
192,21.19,1,295078.375,6808793.875,34.32171542,586.1266893
193,16.82,1,295179.125,6808793.875,22.98130002,228.4882012
194,5.01,1,294233.625,6808793.625,6.483098159,10.662189
195,4.3,1,294329.375,6808793.625,5.692696639,8.134055137
196,18.6,3,294619.375,6808793.625,120.806246,2152.696328
197,20.28,2,294646.875,6808793.625,53.01969436,1061.473566
198,18.52,2,294743.125,6808793.625,41.20091872,663.6359066
199,18.18,3,294774.375,6808793.625,97.97669054,1799.858555
200,12.56,2,294924.375,6808793.625,19.97700558,126.1081547
201,18.98,2,295100.875,6808793.625,43.88226717,750.6936953
202,7.29,2,294867.625,6808793.375,10.43974031,22.85389988
203,12.05,2,294900.625,6808793.375,18.83296593,108.4368354
204,9.7,3,294912.625,6808793.375,13.86482404,51.493509
205,7.87,2,294934.625,6808793.375,11.30255254,28.1998531
206,19.14,1,295034.875,6808793.375,28.33357608,377.9781564
207,22.95,1,295071.625,6808793.375,40.83525784,852.3640653
208,14.69,1,295160.125,6808793.375,18.99320997,142.3411891
209,2.93,3,293791.625,6808793.125,3.459125112,1.614919551
210,4.4,3,294068.875,6808793.125,5.271332291,4.130212716
211,3.78,3,294094.875,6808793.125,4.508153839,2.860158137
212,3.41,3,294690.625,6808793.125,4.054973863,2.25713859
213,18.33,2,294723.375,6808793.125,40.16165483,630.6149653
214,24.17,1,294979.125,6808793.125,46.39730324,1104.650146
215,20.19,3,294589.375,6808792.875,664.3315179,4272.99919
216,14.89,2,294803.625,6808792.875,26.18502123,245.880327
217,5.55,2,294880.875,6808792.875,8.000128338,11.45161597
218,18.11,2,295012.875,6808792.875,39.00401477,594.3690743
219,22.14,1,295084.125,6808792.875,37.64712745,717.5213323
220,17.08,2,294781.375,6808792.625,34.15512266,449.7902272
